net,length_um
_0551_,12.33
_0416_,12.315
_0215_,12.29
_0469_,12.28
_0713_,12.28
_0501_,12.275
_0745_,12.255
_0473_,12.18
_0603_,12.175
_0860_,12.155
_0171_,12.11
_0805_,12.08
read,12.06
_0545_,12.04
_0493_,11.995
_0834_,11.97
d2.r_reg\[80\],11.945
_0540_,11.915
_0709_,11.915
_0637_,11.875
d2.r_reg\[28\],11.835
_0495_,11.82
_0503_,11.795
_0614_,11.795
_0538_,11.735
reset,11.7
_0277_,11.675
_0351_,11.575
_0638_,11.575
_0472_,11.535
_0468_,11.495
_0476_,11.495
_0783_,11.485
_0042_,11.46
_0512_,11.455
_0820_,11.43
_0643_,11.375
_0661_,11.355
_0636_,11.335
_0639_,11.315
_0354_,11.285
d2.t_load\[49\],11.275
net7,11.26
_0489_,11.24
_0298_,11.235
_0214_,11.225
_0291_,11.2
_0163_,11.145
_0483_,11.075
_0839_,11.05
_0541_,11.02
load,11.02
s_in,11.02
_0699_,10.995
_0320_,10.98
_0398_,10.955
_0386_,10.92
_0391_,10.92
_0632_,10.915
_0134_,10.9
_0791_,10.88
_0965_,10.8
_0002_,10.795
_0955_,10.78
_0267_,10.735
_0179_,10.7
_0807_,10.66
_0802_,10.655
_0908_,10.655
_0522_,10.635
dac[5],10.56
_0785_,10.53
vbias3[0],10.525
_0556_,10.495
_0916_,10.495
_0419_,10.475
_0265_,10.46
_0537_,10.455
_0967_,10.455
_0159_,10.39
s_out,10.34
_0518_,10.315
_0303_,10.28
_0609_,10.275
d5.mux01.out\[5\],10.275
_0227_,10.265
d2.t_load\[95\],10.25
_0581_,10.2
_0334_,10.195
_0533_,10.195
_0064_,10.165
_0504_,10.155
_0605_,10.155
_0347_,10.135
_0480_,10.115
_0024_,10.08
_0068_,10.05
_0279_,10
_0209_,9.97
_0050_,9.965
_0602_,9.935
_0795_,9.91
_0181_,9.9
d2.r_reg\[20\],9.865
_0549_,9.855
_0122_,9.845
_0624_,9.82
_0693_,9.8
_0948_,9.8
