net,length_um
_0812_,8.02
_0321_,8.015
_0367_,8.015
_0342_,7.975
_0246_,7.96
_0118_,7.94
_0361_,7.935
d5.mux01.out\[1\],7.935
_0767_,7.91
_0869_,7.91
_0906_,7.91
_0238_,7.905
_0010_,7.9
_0742_,7.895
_0032_,7.865
_0306_,7.815
_0937_,7.815
vbias2[4],7.795
_0192_,7.79
_0563_,7.775
_0267_,7.755
_0577_,7.735
_0657_,7.735
_0900_,7.735
_0442_,7.7
_0506_,7.7
_0038_,7.695
_0117_,7.695
_0144_,7.69
_0229_,7.69
_0733_,7.68
_0272_,7.655
_0925_,7.655
d5.mux01.out\[5\],7.64
_0626_,7.635
_0538_,7.595
_0645_,7.58
_0682_,7.57
_0304_,7.555
_0045_,7.485
_0228_,7.485
_0392_,7.475
_0416_,7.435
_0423_,7.435
_0444_,7.435
d5.mux01.out\[0\],7.435
_0453_,7.415
_0080_,7.405
_0380_,7.395
_0439_,7.395
_0460_,7.395
_0727_,7.395
_0215_,7.325
_0484_,7.315
_0980_,7.315
_0103_,7.3
_0111_,7.29
_0302_,7.275
_0659_,7.275
_0807_,7.275
_0638_,7.255
_0221_,7.245
_0513_,7.24
_0407_,7.23
_0452_,7.23
_0884_,7.22
_0589_,7.215
_0098_,7.17
_0163_,7.17
_0268_,7.155
_0303_,7.15
_0490_,7.145
_0486_,7.135
_0492_,7.12
_0575_,7.12
_0817_,7.12
_0894_,7.12
_0007_,7.095
_0097_,7.085
_0433_,7.055
_0046_,7.015
_0166_,7.015
_0182_,6.98
_0384_,6.975
_0515_,6.975
_0719_,6.955
_0259_,6.94
_0220_,6.88
_0704_,6.855
_0765_,6.855
_0831_,6.855
_0088_,6.83
_0534_,6.815
_0548_,6.815
_0556_,6.815
_0976_,6.815
_0913_,6.78
_0051_,6.77
_0514_,6.72
_0891_,6.72
_0089_,6.71
_0250_,6.71
_0336_,6.695
_0401_,6.66
_0377_,6.635
_0435_,6.595
_0935_,6.595
_0204_,6.52
_0374_,6.515
_0421_,6.515
_0702_,6.515
_0734_,6.515
_0086_,6.48
_0096_,6.48
_0277_,6.475
_0614_,6.475
slope_ctrl[2],6.425
vbias1[4],6.425
_0030_,6.42
_0322_,6.395
_0483_,6.395
_0697_,6.395
_0714_,6.395
_0923_,6.395
_0162_,6.385
_0066_,6.37
_0069_,6.37
_0174_,6.37
_0223_,6.37
_0276_,6.36
_0015_,6.355
_0531_,6.355
_0557_,6.355
_0981_,6.355
_0389_,6.32
_0522_,6.3
_0631_,6.295
_0686_,6.255
_0187_,6.24
corner[0],6.205
_0394_,6.2
_0332_,6.175
_0110_,6.165
_0034_,6.14
_0469_,6.14
_0255_,6.135
_0311_,6.135
_0365_,6.135
_0056_,6.105
_0138_,6.105
_0459_,6.08
_0173_,6.065
_0743_,6.055
_0902_,6.055
d5.mux01.out\[4\],6.055
_0969_,6.035
_0566_,6.015
_0676_,6.015
_0991_,6.015
_0142_,5.995
_0120_,5.99
corner[2],5.965
_0685_,5.935
_0699_,5.935
_0709_,5.935
_0722_,5.935
_0949_,5.935
_0524_,5.895
_0527_,5.895
_0569_,5.895
_0609_,5.895
_0666_,5.895
_0707_,5.895
_0811_,5.895
_0373_,5.86
_0211_,5.85
_0125_,5.84
_0828_,5.84
_0523_,5.835
_0358_,5.8
_0600_,5.795
vbias1[3],5.745
vbias1[7],5.745
_0806_,5.74
_0815_,5.74
_0711_,5.72
_0325_,5.715
_0396_,5.715
_0146_,5.705
_0167_,5.68
_0278_,5.675
_0424_,5.675
_0961_,5.66
_0135_,5.655
vbias3[4],5.625
_0147_,5.605
_0133_,5.6
_0382_,5.595
_0497_,5.595
_0835_,5.595
_0073_,5.56
_0076_,5.56
_0164_,5.56
_0214_,5.56
_0219_,5.56
_0875_,5.555
_0430_,5.53
vbias3[2],5.525
vbias3[5],5.525
_0450_,5.5
_0094_,5.48
_0526_,5.475
_0540_,5.475
_0560_,5.475
_0202_,5.45
_0479_,5.435
_0568_,5.435
_0597_,5.435
_0604_,5.435
_0634_,5.435
_0683_,5.435
slope_ctrl[0],5.405
vbias1[1],5.405
_0635_,5.4
_0754_,5.4
_0108_,5.39
_0150_,5.39
_0458_,5.375
_0079_,5.36
_0346_,5.355
_0241_,5.34
_0547_,5.335
_0571_,5.335
_0033_,5.315
_0048_,5.315
_0160_,5.315
_0252_,5.315
vbias3[3],5.285
_0650_,5.28
_0715_,5.28
_0404_,5.255
_0327_,5.215
_0580_,5.19
_0845_,5.19
_0852_,5.19
_0970_,5.19
_0197_,5.185
_0165_,5.145
_0198_,5.145
_0085_,5.14
_0379_,5.135
_0437_,5.135
_0438_,5.135
_0822_,5.135
_0921_,5.135
_0989_,5.135
_0612_,5.095
_0841_,5.095
_0872_,5.095
vbias1[2],5.065
vbias1[5],5.065
vbias1[6],5.065
_0006_,5.06
_0480_,5.06
_0028_,5.04
_0355_,5.04
_0602_,5.015
_0820_,5.015
_0826_,5.015
_0887_,5.015
_0986_,5.015
_0104_,5
_0226_,4.99
_0122_,4.975
_0234_,4.975
_0091_,4.97
_0206_,4.945
corner[1],4.945
vbias3[1],4.945
vbias3[7],4.945
_0628_,4.915
_0701_,4.915
_0247_,4.88
_0897_,4.875
_0930_,4.875
_0385_,4.85
_0471_,4.85
_0494_,4.85
_0846_,4.85
_0581_,4.82
_0637_,4.82
_0695_,4.82
_0728_,4.82
_0876_,4.82
_0470_,4.8
_0386_,4.795
_0445_,4.795
_0593_,4.7
_0063_,4.685
_0857_,4.675
_0888_,4.675
